bin,center,value,error
1,863.25,0,0
2,863.75,0,0
3,864.25,1,1
4,864.75,0,0
5,865.25,0,0
6,865.75,0,0
7,866.25,0,0
8,866.75,0,0
9,867.25,0,0
10,867.75,0,0
11,868.25,0,0
12,868.75,0,0
13,869.25,0,0
14,869.75,0,0
15,870.25,0,0
16,870.75,0,0
17,871.25,0,0
18,871.75,0,0
19,872.25,0,0
20,872.75,0,0
21,873.25,0,0
22,873.75,0,0
23,874.25,1,1
24,874.75,0,0
25,875.25,0,0
26,875.75,0,0
27,876.25,0,0
28,876.75,1,1
29,877.25,1,1
30,877.75,0,0
31,878.25,0,0
32,878.75,0,0
33,879.25,1,1
34,879.75,0,0
35,880.25,0,0
36,880.75,0,0
37,881.25,2,1.41421
38,881.75,0,0
39,882.25,0,0
40,882.75,0,0
41,883.25,1,1
42,883.75,0,0
43,884.25,0,0
44,884.75,0,0
45,885.25,0,0
46,885.75,0,0
47,886.25,1,1
48,886.75,0,0
49,887.25,0,0
50,887.75,1,1
51,888.25,0,0
52,888.75,1,1
53,889.25,2,1.41421
54,889.75,0,0
55,890.25,0,0
56,890.75,1,1
57,891.25,0,0
58,891.75,0,0
59,892.25,0,0
60,892.75,0,0
61,893.25,0,0
62,893.75,0,0
63,894.25,0,0
64,894.75,1,1
65,895.25,0,0
66,895.75,1,1
67,896.25,0,0
68,896.75,0,0
69,897.25,2,1.41421
70,897.75,0,0
71,898.25,0,0
72,898.75,0,0
73,899.25,0,0
74,899.75,1,1
75,900.25,3,1.73205
76,900.75,2,1.41421
77,901.25,1,1
78,901.75,1,1
79,902.25,2,1.41421
80,902.75,5,2.23607
81,903.25,0,0
82,903.75,4,2
83,904.25,4,2
84,904.75,7,2.64575
85,905.25,5,2.23607
86,905.75,12,3.4641
87,906.25,12,3.4641
88,906.75,29,5.38516
89,907.25,28,5.2915
90,907.75,25,5
91,908.25,34,5.83095
92,908.75,43,6.55744
93,909.25,43,6.55744
94,909.75,60,7.74597
95,910.25,59,7.68115
96,910.75,54,7.34847
97,911.25,83,9.11043
98,911.75,75,8.66025
99,912.25,97,9.84886
100,912.75,113,10.6301
101,913.25,116,10.7703
102,913.75,116,10.7703
103,914.25,129,11.3578
104,914.75,119,10.9087
105,915.25,170,13.0384
106,915.75,167,12.9228
107,916.25,140,11.8322
108,916.75,153,12.3693
109,917.25,171,13.0767
110,917.75,189,13.7477
111,918.25,207,14.3875
112,918.75,181,13.4536
113,919.25,210,14.4914
114,919.75,245,15.6525
115,920.25,215,14.6629
116,920.75,218,14.7648
117,921.25,239,15.4596
118,921.75,247,15.7162
119,922.25,222,14.8997
120,922.75,247,15.7162
121,923.25,257,16.0312
122,923.75,208,14.4222
123,924.25,230,15.1658
124,924.75,219,14.7986
125,925.25,229,15.1327
126,925.75,251,15.843
127,926.25,259,16.0935
128,926.75,261,16.1555
129,927.25,260,16.1245
130,927.75,258,16.0624
131,928.25,270,16.4317
132,928.75,259,16.0935
133,929.25,256,16
134,929.75,260,16.1245
135,930.25,259,16.0935
136,930.75,289,17
137,931.25,274,16.5529
138,931.75,255,15.9687
139,932.25,259,16.0935
140,932.75,250,15.8114
141,933.25,253,15.906
142,933.75,264,16.2481
143,934.25,236,15.3623
144,934.75,251,15.843
145,935.25,242,15.5563
146,935.75,271,16.4621
147,936.25,234,15.2971
148,936.75,266,16.3095
149,937.25,254,15.9374
150,937.75,240,15.4919
151,938.25,245,15.6525
152,938.75,231,15.1987
153,939.25,230,15.1658
154,939.75,255,15.9687
155,940.25,205,14.3178
156,940.75,216,14.6969
157,941.25,208,14.4222
158,941.75,215,14.6629
159,942.25,201,14.1774
160,942.75,206,14.3527
161,943.25,198,14.0712
162,943.75,188,13.7113
163,944.25,179,13.3791
164,944.75,161,12.6886
165,945.25,171,13.0767
166,945.75,171,13.0767
167,946.25,142,11.9164
168,946.75,161,12.6886
169,947.25,156,12.49
170,947.75,159,12.6095
171,948.25,135,11.619
172,948.75,125,11.1803
173,949.25,115,10.7238
174,949.75,106,10.2956
175,950.25,93,9.64365
176,950.75,88,9.38083
177,951.25,84,9.16515
178,951.75,70,8.3666
179,952.25,84,9.16515
180,952.75,61,7.81025
181,953.25,68,8.24621
182,953.75,48,6.9282
183,954.25,48,6.9282
184,954.75,44,6.63325
185,955.25,37,6.08276
186,955.75,30,5.47723
187,956.25,38,6.16441
188,956.75,28,5.2915
189,957.25,30,5.47723
190,957.75,37,6.08276
191,958.25,27,5.19615
192,958.75,34,5.83095
193,959.25,27,5.19615
194,959.75,13,3.60555
195,960.25,21,4.58258
196,960.75,19,4.3589
197,961.25,17,4.12311
198,961.75,11,3.31662
199,962.25,16,4
200,962.75,13,3.60555
201,963.25,10,3.16228
202,963.75,20,4.47214
203,964.25,11,3.31662
204,964.75,7,2.64575
205,965.25,6,2.44949
206,965.75,6,2.44949
207,966.25,4,2
208,966.75,7,2.64575
209,967.25,11,3.31662
210,967.75,8,2.82843
211,968.25,7,2.64575
212,968.75,3,1.73205
213,969.25,4,2
214,969.75,3,1.73205
215,970.25,6,2.44949
216,970.75,5,2.23607
217,971.25,3,1.73205
218,971.75,3,1.73205
219,972.25,1,1
220,972.75,4,2
221,973.25,5,2.23607
222,973.75,2,1.41421
223,974.25,3,1.73205
224,974.75,2,1.41421
225,975.25,3,1.73205
226,975.75,2,1.41421
227,976.25,2,1.41421
228,976.75,1,1
229,977.25,2,1.41421
230,977.75,4,2
231,978.25,1,1
232,978.75,2,1.41421
233,979.25,2,1.41421
234,979.75,2,1.41421
235,980.25,0,0
236,980.75,2,1.41421
237,981.25,0,0
238,981.75,0,0
239,982.25,2,1.41421
240,982.75,0,0
241,983.25,2,1.41421
242,983.75,1,1
243,984.25,0,0
244,984.75,0,0
245,985.25,0,0
246,985.75,0,0
247,986.25,1,1
248,986.75,4,2
249,987.25,1,1
250,987.75,0,0
251,988.25,1,1
252,988.75,0,0
253,989.25,2,1.41421
254,989.75,0,0
255,990.25,1,1
256,990.75,1,1
257,991.25,0,0
258,991.75,1,1
259,992.25,0,0
260,992.75,0,0
261,993.25,2,1.41421
262,993.75,1,1
263,994.25,1,1
264,994.75,0,0
265,995.25,0,0
266,995.75,0,0
267,996.25,0,0
268,996.75,0,0
269,997.25,1,1
270,997.75,1,1
271,998.25,2,1.41421
272,998.75,0,0
273,999.25,0,0
274,999.75,0,0
275,1000.25,1,1
276,1000.75,1,1
277,1001.25,2,1.41421
278,1001.75,0,0
279,1002.25,2,1.41421
280,1002.75,2,1.41421
