bin,center,value,error
1,685.25,1,1
2,685.75,0,0
3,686.25,0,0
4,686.75,0,0
5,687.25,0,0
6,687.75,0,0
7,688.25,0,0
8,688.75,0,0
9,689.25,0,0
10,689.75,0,0
11,690.25,0,0
12,690.75,0,0
13,691.25,1,1
14,691.75,1,1
15,692.25,0,0
16,692.75,1,1
17,693.25,0,0
18,693.75,0,0
19,694.25,1,1
20,694.75,0,0
21,695.25,0,0
22,695.75,0,0
23,696.25,2,1.41421
24,696.75,0,0
25,697.25,1,1
26,697.75,0,0
27,698.25,0,0
28,698.75,0,0
29,699.25,1,1
30,699.75,0,0
31,700.25,1,1
32,700.75,1,1
33,701.25,1,1
34,701.75,1,1
35,702.25,0,0
36,702.75,2,1.41421
37,703.25,1,1
38,703.75,0,0
39,704.25,1,1
40,704.75,1,1
41,705.25,1,1
42,705.75,0,0
43,706.25,0,0
44,706.75,1,1
45,707.25,1,1
46,707.75,0,0
47,708.25,1,1
48,708.75,2,1.41421
49,709.25,1,1
50,709.75,2,1.41421
51,710.25,0,0
52,710.75,0,0
53,711.25,0,0
54,711.75,2,1.41421
55,712.25,2,1.41421
56,712.75,0,0
57,713.25,1,1
58,713.75,2,1.41421
59,714.25,0,0
60,714.75,2,1.41421
61,715.25,2,1.41421
62,715.75,2,1.41421
63,716.25,0,0
64,716.75,0,0
65,717.25,4,2
66,717.75,1,1
67,718.25,2,1.41421
68,718.75,2,1.41421
69,719.25,2,1.41421
70,719.75,3,1.73205
71,720.25,2,1.41421
72,720.75,1,1
73,721.25,0,0
74,721.75,2,1.41421
75,722.25,0,0
76,722.75,0,0
77,723.25,0,0
78,723.75,1,1
79,724.25,1,1
80,724.75,2,1.41421
81,725.25,2,1.41421
82,725.75,2,1.41421
83,726.25,1,1
84,726.75,2,1.41421
85,727.25,2,1.41421
86,727.75,1,1
87,728.25,5,2.23607
88,728.75,4,2
89,729.25,6,2.44949
90,729.75,6,2.44949
91,730.25,10,3.16228
92,730.75,14,3.74166
93,731.25,9,3
94,731.75,34,5.83095
95,732.25,41,6.40312
96,732.75,39,6.245
97,733.25,68,8.24621
98,733.75,102,10.0995
99,734.25,125,11.1803
100,734.75,151,12.2882
101,735.25,182,13.4907
102,735.75,231,15.1987
103,736.25,284,16.8523
104,736.75,308,17.5499
105,737.25,377,19.4165
106,737.75,394,19.8494
107,738.25,456,21.3542
108,738.75,496,22.2711
109,739.25,569,23.8537
110,739.75,673,25.9422
111,740.25,647,25.4362
112,740.75,802,28.3196
113,741.25,778,27.8927
114,741.75,830,28.8097
115,742.25,886,29.7658
116,742.75,977,31.257
117,743.25,1001,31.6386
118,743.75,973,31.1929
119,744.25,1063,32.6037
120,744.75,1064,32.619
121,745.25,1094,33.0757
122,745.75,1178,34.322
123,746.25,1184,34.4093
124,746.75,1202,34.6699
125,747.25,1233,35.1141
126,747.75,1144,33.8231
127,748.25,1164,34.1174
128,748.75,1259,35.4824
129,749.25,1265,35.5668
130,749.75,1316,36.2767
131,750.25,1270,35.6371
132,750.75,1289,35.9026
133,751.25,1325,36.4005
134,751.75,1313,36.2353
135,752.25,1321,36.3456
136,752.75,1374,37.0675
137,753.25,1275,35.7071
138,753.75,1290,35.9166
139,754.25,1255,35.426
140,754.75,1216,34.8712
141,755.25,1275,35.7071
142,755.75,1245,35.2846
143,756.25,1271,35.6511
144,756.75,1266,35.5809
145,757.25,1256,35.4401
146,757.75,1317,36.2905
147,758.25,1293,35.9583
148,758.75,1174,34.2637
149,759.25,1222,34.9571
150,759.75,1237,35.171
151,760.25,1130,33.6155
152,760.75,1153,33.9559
153,761.25,1116,33.4066
154,761.75,1080,32.8634
155,762.25,1059,32.5423
156,762.75,1058,32.5269
157,763.25,948,30.7896
158,763.75,978,31.273
159,764.25,874,29.5635
160,764.75,832,28.8444
161,765.25,833,28.8617
162,765.75,755,27.4773
163,766.25,751,27.4044
164,766.75,700,26.4575
165,767.25,623,24.96
166,767.75,625,25
