bin,center,value,error
1,645.25,1,1
2,645.75,0,0
3,646.25,0,0
4,646.75,0,0
5,647.25,0,0
6,647.75,0,0
7,648.25,0,0
8,648.75,1,1
9,649.25,0,0
10,649.75,1,1
11,650.25,0,0
12,650.75,1,1
13,651.25,0,0
14,651.75,0,0
15,652.25,0,0
16,652.75,0,0
17,653.25,0,0
18,653.75,1,1
19,654.25,0,0
20,654.75,2,1.41421
21,655.25,0,0
22,655.75,0,0
23,656.25,0,0
24,656.75,0,0
25,657.25,1,1
26,657.75,1,1
27,658.25,0,0
28,658.75,0,0
29,659.25,1,1
30,659.75,0,0
31,660.25,0,0
32,660.75,0,0
33,661.25,0,0
34,661.75,1,1
35,662.25,1,1
36,662.75,0,0
37,663.25,1,1
38,663.75,0,0
39,664.25,2,1.41421
40,664.75,0,0
41,665.25,0,0
42,665.75,1,1
43,666.25,0,0
44,666.75,0,0
45,667.25,0,0
46,667.75,1,1
47,668.25,0,0
48,668.75,0,0
49,669.25,1,1
50,669.75,2,1.41421
51,670.25,1,1
52,670.75,0,0
53,671.25,1,1
54,671.75,0,0
55,672.25,1,1
56,672.75,0,0
57,673.25,0,0
58,673.75,1,1
59,674.25,2,1.41421
60,674.75,0,0
61,675.25,0,0
62,675.75,0,0
63,676.25,1,1
64,676.75,2,1.41421
65,677.25,1,1
66,677.75,1,1
67,678.25,1,1
68,678.75,1,1
69,679.25,4,2
70,679.75,2,1.41421
71,680.25,2,1.41421
72,680.75,3,1.73205
73,681.25,2,1.41421
74,681.75,2,1.41421
75,682.25,2,1.41421
76,682.75,2,1.41421
77,683.25,0,0
78,683.75,3,1.73205
79,684.25,0,0
80,684.75,1,1
81,685.25,1,1
82,685.75,1,1
83,686.25,1,1
84,686.75,1,1
85,687.25,2,1.41421
86,687.75,2,1.41421
87,688.25,1,1
88,688.75,2,1.41421
89,689.25,3,1.73205
90,689.75,6,2.44949
91,690.25,8,2.82843
92,690.75,7,2.64575
93,691.25,11,3.31662
94,691.75,9,3
95,692.25,9,3
96,692.75,20,4.47214
97,693.25,34,5.83095
98,693.75,48,6.9282
99,694.25,62,7.87401
100,694.75,94,9.69536
101,695.25,126,11.225
102,695.75,136,11.6619
103,696.25,161,12.6886
104,696.75,231,15.1987
105,697.25,284,16.8523
106,697.75,321,17.9165
107,698.25,358,18.9209
108,698.75,403,20.0749
109,699.25,441,21
110,699.75,517,22.7376
111,700.25,595,24.3926
112,700.75,658,25.6515
113,701.25,703,26.5141
114,701.75,794,28.178
115,702.25,788,28.0713
116,702.75,881,29.6816
117,703.25,931,30.5123
118,703.75,964,31.0483
119,704.25,950,30.8221
120,704.75,1070,32.7109
121,705.25,1072,32.7414
122,705.75,1049,32.3883
123,706.25,1145,33.8378
124,706.75,1178,34.322
125,707.25,1170,34.2053
126,707.75,1192,34.5254
127,708.25,1146,33.8526
128,708.75,1177,34.3074
129,709.25,1230,35.0714
130,709.75,1269,35.623
131,710.25,1250,35.3553
132,710.75,1250,35.3553
133,711.25,1296,36
134,711.75,1293,35.9583
135,712.25,1306,36.1386
136,712.75,1297,36.0139
137,713.25,1280,35.7771
138,713.75,1321,36.3456
139,714.25,1222,34.9571
140,714.75,1257,35.4542
141,715.25,1261,35.5106
142,715.75,1272,35.6651
143,716.25,1215,34.8569
144,716.75,1288,35.8887
145,717.25,1215,34.8569
146,717.75,1200,34.641
147,718.25,1231,35.0856
148,718.75,1196,34.5832
149,719.25,1196,34.5832
150,719.75,1197,34.5977
151,720.25,1177,34.3074
152,720.75,1092,33.0454
153,721.25,1048,32.3728
154,721.75,1018,31.9061
155,722.25,1011,31.7962
156,722.75,964,31.0483
157,723.25,970,31.1448
158,723.75,881,29.6816
159,724.25,824,28.7054
160,724.75,845,29.0689
161,725.25,729,27
162,725.75,757,27.5136
163,726.25,686,26.1916
164,726.75,608,24.6577
165,727.25,614,24.779
166,727.75,539,23.2164
167,728.25,498,22.3159
168,728.75,440,20.9762
169,729.25,412,20.2978
170,729.75,367,19.1572
171,730.25,326,18.0555
172,730.75,269,16.4012
173,731.25,253,15.906
174,731.75,241,15.5242
175,732.25,222,14.8997
176,732.75,206,14.3527
177,733.25,154,12.4097
178,733.75,163,12.7671
179,734.25,137,11.7047
180,734.75,129,11.3578
181,735.25,108,10.3923
182,735.75,93,9.64365
183,736.25,84,9.16515
184,736.75,79,8.88819
185,737.25,87,9.32738
186,737.75,58,7.61577
187,738.25,60,7.74597
188,738.75,63,7.93725
189,739.25,39,6.245
190,739.75,41,6.40312
191,740.25,28,5.2915
192,740.75,33,5.74456
193,741.25,37,6.08276
194,741.75,37,6.08276
195,742.25,21,4.58258
196,742.75,29,5.38516
197,743.25,22,4.69042
198,743.75,31,5.56776
199,744.25,14,3.74166
200,744.75,25,5
201,745.25,11,3.31662
202,745.75,16,4
203,746.25,10,3.16228
204,746.75,17,4.12311
205,747.25,6,2.44949
206,747.75,15,3.87298
207,748.25,5,2.23607
208,748.75,5,2.23607
209,749.25,10,3.16228
210,749.75,8,2.82843
211,750.25,7,2.64575
212,750.75,7,2.64575
213,751.25,4,2
214,751.75,11,3.31662
215,752.25,4,2
216,752.75,5,2.23607
217,753.25,2,1.41421
218,753.75,6,2.44949
219,754.25,4,2
220,754.75,0,0
221,755.25,8,2.82843
222,755.75,6,2.44949
223,756.25,6,2.44949
224,756.75,2,1.41421
225,757.25,4,2
226,757.75,3,1.73205
227,758.25,6,2.44949
228,758.75,2,1.41421
229,759.25,4,2
230,759.75,3,1.73205
231,760.25,3,1.73205
232,760.75,2,1.41421
233,761.25,2,1.41421
234,761.75,4,2
235,762.25,4,2
236,762.75,3,1.73205
237,763.25,4,2
238,763.75,2,1.41421
239,764.25,3,1.73205
240,764.75,2,1.41421
241,765.25,4,2
242,765.75,1,1
243,766.25,3,1.73205
244,766.75,4,2
245,767.25,4,2
246,767.75,1,1
247,768.25,5,2.23607
248,768.75,2,1.41421
249,769.25,3,1.73205
250,769.75,2,1.41421
251,770.25,1,1
252,770.75,3,1.73205
253,771.25,3,1.73205
254,771.75,7,2.64575
255,772.25,6,2.44949
256,772.75,1,1
257,773.25,1,1
258,773.75,4,2
259,774.25,6,2.44949
260,774.75,0,0
261,775.25,1,1
262,775.75,1,1
263,776.25,2,1.41421
264,776.75,2,1.41421
265,777.25,1,1
266,777.75,3,1.73205
267,778.25,1,1
268,778.75,3,1.73205
269,779.25,2,1.41421
270,779.75,4,2
271,780.25,94,9.69536
272,780.75,0,0
273,781.25,0,0
274,781.75,0,0
275,782.25,0,0
276,782.75,0,0
277,783.25,0,0
278,783.75,0,0
279,784.25,0,0
280,784.75,0,0
