bin,center,value,error
1,720.25,0,0
2,720.75,0,0
3,721.25,0,0
4,721.75,0,0
5,722.25,0,0
6,722.75,2,1.41421
7,723.25,0,0
8,723.75,0,0
9,724.25,0,0
10,724.75,1,1
11,725.25,0,0
12,725.75,0,0
13,726.25,1,1
14,726.75,1,1
15,727.25,0,0
16,727.75,0,0
17,728.25,0,0
18,728.75,2,1.41421
19,729.25,2,1.41421
20,729.75,1,1
21,730.25,0,0
22,730.75,0,0
23,731.25,1,1
24,731.75,1,1
25,732.25,0,0
26,732.75,0,0
27,733.25,1,1
28,733.75,1,1
29,734.25,0,0
30,734.75,0,0
31,735.25,1,1
32,735.75,1,1
33,736.25,1,1
34,736.75,1,1
35,737.25,1,1
36,737.75,1,1
37,738.25,0,0
38,738.75,0,0
39,739.25,1,1
40,739.75,1,1
41,740.25,2,1.41421
42,740.75,1,1
43,741.25,0,0
44,741.75,2,1.41421
45,742.25,0,0
46,742.75,2,1.41421
47,743.25,0,0
48,743.75,0,0
49,744.25,0,0
50,744.75,4,2
51,745.25,2,1.41421
52,745.75,0,0
53,746.25,1,1
54,746.75,3,1.73205
55,747.25,0,0
56,747.75,1,1
57,748.25,1,1
58,748.75,3,1.73205
59,749.25,2,1.41421
60,749.75,1,1
61,750.25,2,1.41421
62,750.75,1,1
63,751.25,2,1.41421
64,751.75,2,1.41421
65,752.25,2,1.41421
66,752.75,2,1.41421
67,753.25,2,1.41421
68,753.75,2,1.41421
69,754.25,2,1.41421
70,754.75,0,0
71,755.25,3,1.73205
72,755.75,1,1
73,756.25,0,0
74,756.75,1,1
75,757.25,1,1
76,757.75,1,1
77,758.25,1,1
78,758.75,2,1.41421
79,759.25,2,1.41421
80,759.75,3,1.73205
81,760.25,1,1
82,760.75,1,1
83,761.25,4,2
84,761.75,2,1.41421
85,762.25,9,3
86,762.75,8,2.82843
87,763.25,10,3.16228
88,763.75,10,3.16228
89,764.25,9,3
90,764.75,14,3.74166
91,765.25,12,3.4641
92,765.75,40,6.32456
93,766.25,44,6.63325
94,766.75,50,7.07107
95,767.25,80,8.94427
96,767.75,119,10.9087
97,768.25,135,11.619
98,768.75,158,12.5698
99,769.25,182,13.4907
100,769.75,244,15.6205
101,770.25,301,17.3494
102,770.75,347,18.6279
103,771.25,409,20.2237
104,771.75,407,20.1742
105,772.25,489,22.1133
106,772.75,544,23.3238
107,773.25,596,24.4131
108,773.75,706,26.5707
109,774.25,727,26.9629
110,774.75,747,27.3313
111,775.25,892,29.8664
112,775.75,902,30.0333
113,776.25,942,30.692
114,776.75,993,31.5119
115,777.25,1101,33.1813
116,777.75,1113,33.3617
117,778.25,1065,32.6343
118,778.75,1189,34.4819
119,779.25,1211,34.7994
120,779.75,1214,34.8425
121,780.25,1277,35.7351
122,780.75,1315,36.2629
123,781.25,1314,36.2491
