bin,center,value,error
1,744.25,0,0
2,744.75,2,1.41421
3,745.25,0,0
4,745.75,2,1.41421
5,746.25,0,0
6,746.75,1,1
7,747.25,0,0
8,747.75,0,0
9,748.25,0,0
10,748.75,2,1.41421
11,749.25,0,0
12,749.75,0,0
13,750.25,0,0
14,750.75,2,1.41421
15,751.25,1,1
16,751.75,1,1
17,752.25,0,0
18,752.75,0,0
19,753.25,0,0
20,753.75,1,1
21,754.25,1,1
22,754.75,0,0
23,755.25,2,1.41421
24,755.75,0,0
25,756.25,2,1.41421
26,756.75,0,0
27,757.25,0,0
28,757.75,2,1.41421
29,758.25,1,1
30,758.75,0,0
31,759.25,1,1
32,759.75,1,1
33,760.25,1,1
34,760.75,0,0
35,761.25,0,0
36,761.75,1,1
37,762.25,1,1
38,762.75,2,1.41421
39,763.25,1,1
40,763.75,0,0
41,764.25,2,1.41421
42,764.75,1,1
43,765.25,3,1.73205
44,765.75,0,0
45,766.25,0,0
46,766.75,0,0
47,767.25,4,2
48,767.75,1,1
49,768.25,1,1
50,768.75,1,1
51,769.25,1,1
52,769.75,1,1
53,770.25,2,1.41421
54,770.75,1,1
55,771.25,1,1
56,771.75,3,1.73205
57,772.25,2,1.41421
58,772.75,0,0
59,773.25,4,2
60,773.75,1,1
61,774.25,2,1.41421
62,774.75,3,1.73205
63,775.25,2,1.41421
64,775.75,2,1.41421
65,776.25,1,1
66,776.75,2,1.41421
67,777.25,2,1.41421
68,777.75,0,0
69,778.25,3,1.73205
70,778.75,1,1
71,779.25,0,0
72,779.75,1,1
73,780.25,2,1.41421
74,780.75,1,1
75,781.25,1,1
76,781.75,4,2
77,782.25,2,1.41421
78,782.75,1,1
79,783.25,0,0
80,783.75,1,1
81,784.25,2,1.41421
82,784.75,3,1.73205
83,785.25,8,2.82843
84,785.75,6,2.44949
85,786.25,9,3
86,786.75,13,3.60555
87,787.25,11,3.31662
88,787.75,15,3.87298
89,788.25,9,3
90,788.75,32,5.65685
91,789.25,40,6.32456
92,789.75,48,6.9282
93,790.25,55,7.4162
94,790.75,98,9.89949
95,791.25,132,11.4891
96,791.75,157,12.53
97,792.25,163,12.7671
98,792.75,220,14.8324
99,793.25,253,15.906
100,793.75,322,17.9444
101,794.25,370,19.2354
102,794.75,425,20.6155
103,795.25,455,21.3307
104,795.75,486,22.0454
105,796.25,588,24.2487
106,796.75,632,25.1396
107,797.25,734,27.0924
108,797.75,772,27.7849
109,798.25,771,27.7669
110,798.75,928,30.4631
111,799.25,914,30.2324
112,799.75,976,31.241
113,800.25,1035,32.1714
114,800.75,1096,33.1059
115,801.25,1161,34.0735
116,801.75,1149,33.8969
117,802.25,1214,34.8425
118,802.75,1249,35.3412
119,803.25,1263,35.5387
120,803.75,1315,36.2629
121,804.25,1386,37.229
122,804.75,1347,36.7015
