bin,center,value,error
1,832.25,4,2
2,832.75,1,1
3,833.25,4,2
4,833.75,3,1.73205
5,834.25,1,1
6,834.75,5,2.23607
7,835.25,2,1.41421
8,835.75,6,2.44949
9,836.25,3,1.73205
10,836.75,6,2.44949
11,837.25,2,1.41421
12,837.75,2,1.41421
13,838.25,2,1.41421
14,838.75,5,2.23607
15,839.25,2,1.41421
16,839.75,6,2.44949
17,840.25,4,2
18,840.75,5,2.23607
19,841.25,2,1.41421
20,841.75,8,2.82843
21,842.25,5,2.23607
22,842.75,5,2.23607
23,843.25,4,2
24,843.75,4,2
25,844.25,5,2.23607
26,844.75,9,3
27,845.25,6,2.44949
28,845.75,1,1
29,846.25,5,2.23607
30,846.75,2,1.41421
31,847.25,10,3.16228
32,847.75,5,2.23607
33,848.25,2,1.41421
34,848.75,4,2
35,849.25,3,1.73205
36,849.75,7,2.64575
37,850.25,10,3.16228
38,850.75,8,2.82843
39,851.25,3,1.73205
40,851.75,8,2.82843
41,852.25,9,3
42,852.75,9,3
43,853.25,3,1.73205
44,853.75,5,2.23607
45,854.25,6,2.44949
46,854.75,8,2.82843
47,855.25,6,2.44949
48,855.75,8,2.82843
49,856.25,6,2.44949
50,856.75,10,3.16228
51,857.25,7,2.64575
52,857.75,11,3.31662
53,858.25,14,3.74166
54,858.75,4,2
55,859.25,12,3.4641
56,859.75,9,3
57,860.25,8,2.82843
58,860.75,6,2.44949
59,861.25,10,3.16228
60,861.75,11,3.31662
61,862.25,14,3.74166
62,862.75,8,2.82843
63,863.25,14,3.74166
64,863.75,7,2.64575
65,864.25,9,3
66,864.75,9,3
67,865.25,17,4.12311
68,865.75,6,2.44949
69,866.25,16,4
70,866.75,9,3
71,867.25,18,4.24264
72,867.75,20,4.47214
73,868.25,16,4
74,868.75,14,3.74166
75,869.25,32,5.65685
76,869.75,31,5.56776
77,870.25,22,4.69042
78,870.75,29,5.38516
79,871.25,42,6.48074
80,871.75,49,7
81,872.25,61,7.81025
82,872.75,73,8.544
83,873.25,93,9.64365
84,873.75,136,11.6619
85,874.25,164,12.8062
86,874.75,236,15.3623
87,875.25,292,17.088
88,875.75,350,18.7083
89,876.25,469,21.6564
90,876.75,641,25.318
91,877.25,726,26.9444
92,877.75,956,30.9192
93,878.25,1140,33.7639
94,878.75,1350,36.7423
95,879.25,1561,39.5095
96,879.75,1833,42.8135
97,880.25,1998,44.699
98,880.75,2324,48.2079
99,881.25,2502,50.02
100,881.75,2695,51.9134
101,882.25,3075,55.4527
102,882.75,3345,57.836
103,883.25,3648,60.3987
104,883.75,3995,63.206
105,884.25,4068,63.7809
106,884.75,4325,65.7647
107,885.25,4730,68.775
108,885.75,5039,70.9859
109,886.25,5183,71.9931
110,886.75,5478,74.0135
111,887.25,5724,75.6571
112,887.75,5988,77.3822
113,888.25,6124,78.256
114,888.75,6370,79.8123
115,889.25,6593,81.1973
116,889.75,6638,81.4739
117,890.25,6738,82.0853
118,890.75,7062,84.0357
119,891.25,7178,84.7231
120,891.75,7240,85.0882
121,892.25,7476,86.4639
122,892.75,7678,87.6242
123,893.25,7384,85.9302
124,893.75,7730,87.9204
125,894.25,7857,88.6397
126,894.75,7795,88.2893
127,895.25,7994,89.4092
128,895.75,7995,89.4148
129,896.25,7880,88.7694
130,896.75,8010,89.4986
131,897.25,8088,89.9333
132,897.75,8154,90.2995
133,898.25,8118,90.0999
134,898.75,7985,89.3588
135,899.25,8060,89.7775
136,899.75,8031,89.6158
137,900.25,7974,89.2973
138,900.75,7987,89.37
139,901.25,7874,88.7356
140,901.75,8079,89.8833
141,902.25,7953,89.1796
142,902.75,7912,88.9494
143,903.25,7815,88.4025
144,903.75,7914,88.9607
145,904.25,7835,88.5155
146,904.75,7872,88.7243
147,905.25,7650,87.4643
148,905.75,7648,87.4528
149,906.25,7524,86.741
150,906.75,7663,87.5386
151,907.25,7299,85.4342
152,907.75,7365,85.8196
153,908.25,7402,86.0349
154,908.75,7026,83.8212
155,909.25,7162,84.6286
156,909.75,6796,82.4379
157,910.25,6729,82.0305
158,910.75,6552,80.9444
159,911.25,6345,79.6555
160,911.75,6202,78.7528
161,912.25,5967,77.2464
162,912.75,5921,76.948
163,913.25,5631,75.04
164,913.75,5307,72.8492
165,914.25,5059,71.1266
166,914.75,4970,70.4982
167,915.25,4566,67.5722
168,915.75,4355,65.9924
169,916.25,4102,64.0469
170,916.75,4028,63.4665
171,917.25,3793,61.5873
172,917.75,3454,58.7707
173,918.25,3225,56.7891
174,918.75,3047,55.1996
175,919.25,2907,53.9166
176,919.75,2640,51.3809
177,920.25,2349,48.4665
178,920.75,2198,46.8828
179,921.25,2046,45.2327
180,921.75,1845,42.9535
181,922.25,1782,42.2137
182,922.75,1560,39.4968
183,923.25,1427,37.7757
184,923.75,1331,36.4829
185,924.25,1206,34.7275
186,924.75,1096,33.1059
187,925.25,951,30.8383
188,925.75,911,30.1828
189,926.25,803,28.3373
190,926.75,774,27.8209
191,927.25,674,25.9615
192,927.75,597,24.4336
193,928.25,565,23.7697
194,928.75,505,22.4722
195,929.25,531,23.0434
196,929.75,445,21.095
197,930.25,409,20.2237
198,930.75,351,18.735
199,931.25,321,17.9165
200,931.75,305,17.4642
201,932.25,283,16.8226
202,932.75,287,16.9411
203,933.25,257,16.0312
204,933.75,233,15.2643
205,934.25,212,14.5602
206,934.75,194,13.9284
207,935.25,204,14.2829
208,935.75,173,13.1529
209,936.25,145,12.0416
210,936.75,160,12.6491
211,937.25,146,12.083
212,937.75,153,12.3693
213,938.25,133,11.5326
214,938.75,100,10
215,939.25,131,11.4455
216,939.75,121,11
217,940.25,78,8.83176
218,940.75,102,10.0995
219,941.25,105,10.247
220,941.75,91,9.53939
221,942.25,97,9.84886
222,942.75,84,9.16515
223,943.25,74,8.60233
224,943.75,69,8.30662
225,944.25,56,7.48331
226,944.75,49,7
227,945.25,79,8.88819
228,945.75,51,7.14143
229,946.25,55,7.4162
230,946.75,55,7.4162
231,947.25,44,6.63325
232,947.75,42,6.48074
233,948.25,37,6.08276
234,948.75,39,6.245
235,949.25,31,5.56776
236,949.75,37,6.08276
237,950.25,20,4.47214
238,950.75,39,6.245
239,951.25,24,4.89898
240,951.75,36,6
241,952.25,23,4.79583
242,952.75,29,5.38516
243,953.25,33,5.74456
244,953.75,18,4.24264
245,954.25,25,5
246,954.75,25,5
247,955.25,21,4.58258
248,955.75,28,5.2915
249,956.25,20,4.47214
250,956.75,24,4.89898
251,957.25,19,4.3589
252,957.75,21,4.58258
253,958.25,19,4.3589
254,958.75,17,4.12311
255,959.25,29,5.38516
256,959.75,15,3.87298
257,960.25,24,4.89898
258,960.75,17,4.12311
259,961.25,24,4.89898
260,961.75,23,4.79583
261,962.25,27,5.19615
262,962.75,20,4.47214
263,963.25,27,5.19615
264,963.75,13,3.60555
265,964.25,20,4.47214
266,964.75,17,4.12311
267,965.25,16,4
268,965.75,17,4.12311
269,966.25,8,2.82843
270,966.75,20,4.47214
271,967.25,26,5.09902
272,967.75,18,4.24264
273,968.25,17,4.12311
274,968.75,12,3.4641
275,969.25,25,5
276,969.75,23,4.79583
277,970.25,19,4.3589
278,970.75,15,3.87298
279,971.25,12,3.4641
280,971.75,17,4.12311
