bin,center,value,error
1,575.25,0,0
2,575.75,0,0
3,576.25,3,1.73205
4,576.75,2,1.41421
5,577.25,1,1
6,577.75,1,1
7,578.25,0,0
8,578.75,1,1
9,579.25,0,0
10,579.75,0,0
11,580.25,0,0
12,580.75,0,0
13,581.25,0,0
14,581.75,0,0
15,582.25,0,0
16,582.75,0,0
17,583.25,1,1
18,583.75,1,1
19,584.25,0,0
20,584.75,0,0
21,585.25,0,0
22,585.75,0,0
23,586.25,1,1
24,586.75,0,0
25,587.25,1,1
26,587.75,0,0
27,588.25,0,0
28,588.75,0,0
29,589.25,0,0
30,589.75,0,0
31,590.25,1,1
32,590.75,1,1
33,591.25,0,0
34,591.75,1,1
35,592.25,0,0
36,592.75,0,0
37,593.25,0,0
38,593.75,0,0
39,594.25,0,0
40,594.75,2,1.41421
41,595.25,0,0
42,595.75,0,0
43,596.25,0,0
44,596.75,0,0
45,597.25,0,0
46,597.75,1,1
47,598.25,1,1
48,598.75,0,0
49,599.25,0,0
50,599.75,0,0
51,600.25,0,0
52,600.75,0,0
53,601.25,0,0
54,601.75,1,1
55,602.25,0,0
56,602.75,1,1
57,603.25,0,0
58,603.75,0,0
59,604.25,2,1.41421
60,604.75,1,1
61,605.25,0,0
62,605.75,1,1
63,606.25,0,0
64,606.75,0,0
65,607.25,0,0
66,607.75,1,1
67,608.25,0,0
68,608.75,1,1
69,609.25,2,1.41421
70,609.75,1,1
71,610.25,1,1
72,610.75,2,1.41421
73,611.25,1,1
74,611.75,1,1
75,612.25,0,0
76,612.75,2,1.41421
77,613.25,2,1.41421
78,613.75,0,0
79,614.25,0,0
80,614.75,4,2
81,615.25,1,1
82,615.75,1,1
83,616.25,0,0
84,616.75,0,0
85,617.25,0,0
86,617.75,0,0
87,618.25,0,0
88,618.75,0,0
89,619.25,3,1.73205
90,619.75,1,1
91,620.25,3,1.73205
92,620.75,0,0
93,621.25,2,1.41421
94,621.75,2,1.41421
95,622.25,2,1.41421
96,622.75,2,1.41421
97,623.25,4,2
98,623.75,7,2.64575
99,624.25,5,2.23607
100,624.75,7,2.64575
101,625.25,15,3.87298
102,625.75,30,5.47723
103,626.25,36,6
104,626.75,56,7.48331
105,627.25,66,8.12404
106,627.75,79,8.88819
107,628.25,117,10.8167
108,628.75,153,12.3693
109,629.25,188,13.7113
110,629.75,221,14.8661
111,630.25,216,14.6969
112,630.75,267,16.3401
113,631.25,299,17.2916
114,631.75,387,19.6723
115,632.25,368,19.1833
116,632.75,418,20.445
117,633.25,473,21.7486
118,633.75,444,21.0713
119,634.25,515,22.6936
120,634.75,576,24
121,635.25,585,24.1868
122,635.75,610,24.6982
123,636.25,610,24.6982
124,636.75,606,24.6171
125,637.25,667,25.8263
126,637.75,654,25.5734
127,638.25,722,26.8701
128,638.75,610,24.6982
129,639.25,672,25.923
130,639.75,706,26.5707
131,640.25,699,26.4386
132,640.75,737,27.1477
133,641.25,726,26.9444
134,641.75,757,27.5136
135,642.25,721,26.8514
136,642.75,759,27.55
137,643.25,778,27.8927
138,643.75,745,27.2947
139,644.25,714,26.7208
140,644.75,708,26.6083
141,645.25,702,26.4953
142,645.75,746,27.313
143,646.25,717,26.7769
144,646.75,733,27.074
145,647.25,707,26.5895
146,647.75,714,26.7208
147,648.25,688,26.2298
148,648.75,703,26.5141
149,649.25,673,25.9422
150,649.75,687,26.2107
151,650.25,623,24.96
152,650.75,593,24.3516
153,651.25,597,24.4336
154,651.75,595,24.3926
155,652.25,564,23.7487
156,652.75,549,23.4307
157,653.25,505,22.4722
158,653.75,473,21.7486
159,654.25,451,21.2368
160,654.75,434,20.8327
161,655.25,374,19.3391
162,655.75,336,18.3303
163,656.25,349,18.6815
164,656.75,317,17.8045
165,657.25,279,16.7033
166,657.75,232,15.2315
167,658.25,221,14.8661
168,658.75,186,13.6382
169,659.25,144,12
170,659.75,146,12.083
171,660.25,130,11.4018
172,660.75,110,10.4881
173,661.25,103,10.1489
174,661.75,76,8.7178
175,662.25,83,9.11043
176,662.75,65,8.06226
177,663.25,58,7.61577
178,663.75,45,6.7082
179,664.25,39,6.245
180,664.75,42,6.48074
181,665.25,48,6.9282
182,665.75,26,5.09902
183,666.25,38,6.16441
184,666.75,30,5.47723
185,667.25,16,4
186,667.75,17,4.12311
187,668.25,19,4.3589
188,668.75,21,4.58258
189,669.25,19,4.3589
190,669.75,9,3
191,670.25,16,4
192,670.75,22,4.69042
193,671.25,10,3.16228
194,671.75,17,4.12311
195,672.25,5,2.23607
196,672.75,8,2.82843
197,673.25,13,3.60555
198,673.75,5,2.23607
199,674.25,9,3
200,674.75,5,2.23607
201,675.25,4,2
202,675.75,9,3
203,676.25,2,1.41421
204,676.75,6,2.44949
205,677.25,4,2
206,677.75,1,1
207,678.25,2,1.41421
208,678.75,2,1.41421
209,679.25,5,2.23607
210,679.75,0,0
211,680.25,0,0
212,680.75,0,0
213,681.25,5,2.23607
214,681.75,3,1.73205
215,682.25,3,1.73205
216,682.75,1,1
217,683.25,3,1.73205
218,683.75,1,1
219,684.25,2,1.41421
220,684.75,4,2
221,685.25,1,1
222,685.75,1,1
223,686.25,1,1
224,686.75,3,1.73205
225,687.25,2,1.41421
226,687.75,3,1.73205
227,688.25,1,1
228,688.75,3,1.73205
229,689.25,0,0
230,689.75,2,1.41421
231,690.25,3,1.73205
232,690.75,2,1.41421
233,691.25,1,1
234,691.75,1,1
235,692.25,4,2
236,692.75,1,1
237,693.25,2,1.41421
238,693.75,0,0
239,694.25,0,0
240,694.75,1,1
241,695.25,0,0
242,695.75,3,1.73205
243,696.25,4,2
244,696.75,2,1.41421
245,697.25,2,1.41421
246,697.75,3,1.73205
247,698.25,5,2.23607
248,698.75,2,1.41421
249,699.25,0,0
250,699.75,0,0
251,700.25,3,1.73205
252,700.75,1,1
253,701.25,1,1
254,701.75,1,1
255,702.25,0,0
