bin,center,value,error
1,665.25,0,0
2,665.75,0,0
3,666.25,0,0
4,666.75,0,0
5,667.25,0,0
6,667.75,0,0
7,668.25,1,1
8,668.75,0,0
9,669.25,1,1
10,669.75,0,0
11,670.25,0,0
12,670.75,0,0
13,671.25,0,0
14,671.75,0,0
15,672.25,0,0
16,672.75,0,0
17,673.25,1,1
18,673.75,0,0
19,674.25,1,1
20,674.75,0,0
21,675.25,0,0
22,675.75,1,1
23,676.25,0,0
24,676.75,0,0
25,677.25,0,0
26,677.75,0,0
27,678.25,0,0
28,678.75,0,0
29,679.25,0,0
30,679.75,0,0
31,680.25,0,0
32,680.75,0,0
33,681.25,0,0
34,681.75,0,0
35,682.25,0,0
36,682.75,0,0
37,683.25,0,0
38,683.75,0,0
39,684.25,0,0
40,684.75,0,0
41,685.25,0,0
42,685.75,0,0
43,686.25,1,1
44,686.75,0,0
45,687.25,1,1
46,687.75,0,0
47,688.25,0,0
48,688.75,1,1
49,689.25,0,0
50,689.75,0,0
51,690.25,1,1
52,690.75,0,0
53,691.25,0,0
54,691.75,0,0
55,692.25,0,0
56,692.75,0,0
57,693.25,0,0
58,693.75,0,0
59,694.25,0,0
60,694.75,1,1
61,695.25,0,0
62,695.75,0,0
63,696.25,2,1.41421
64,696.75,0,0
65,697.25,0,0
66,697.75,0,0
67,698.25,0,0
68,698.75,0,0
69,699.25,0,0
70,699.75,0,0
71,700.25,1,1
72,700.75,1,1
73,701.25,1,1
74,701.75,0,0
75,702.25,0,0
76,702.75,2,1.41421
77,703.25,1,1
78,703.75,0,0
79,704.25,0,0
80,704.75,1,1
81,705.25,0,0
82,705.75,3,1.73205
83,706.25,0,0
84,706.75,1,1
85,707.25,0,0
86,707.75,0,0
87,708.25,2,1.41421
88,708.75,0,0
89,709.25,0,0
90,709.75,2,1.41421
91,710.25,2,1.41421
92,710.75,1,1
93,711.25,4,2
94,711.75,0,0
95,712.25,5,2.23607
96,712.75,6,2.44949
97,713.25,12,3.4641
98,713.75,19,4.3589
99,714.25,33,5.74456
100,714.75,32,5.65685
101,715.25,40,6.32456
102,715.75,45,6.7082
103,716.25,45,6.7082
104,716.75,78,8.83176
105,717.25,80,8.94427
106,717.75,100,10
107,718.25,102,10.0995
