bin,center,value,error
1,615.25,0,0
2,615.75,0,0
3,616.25,0,0
4,616.75,0,0
5,617.25,0,0
6,617.75,0,0
7,618.25,1,1
8,618.75,0,0
9,619.25,1,1
10,619.75,0,0
11,620.25,0,0
12,620.75,0,0
13,621.25,0,0
14,621.75,0,0
15,622.25,0,0
16,622.75,1,1
17,623.25,0,0
18,623.75,1,1
19,624.25,0,0
20,624.75,0,0
21,625.25,0,0
22,625.75,0,0
23,626.25,0,0
24,626.75,2,1.41421
25,627.25,0,0
26,627.75,0,0
27,628.25,0,0
28,628.75,1,1
29,629.25,0,0
30,629.75,1,1
31,630.25,0,0
32,630.75,0,0
33,631.25,0,0
34,631.75,1,1
35,632.25,0,0
36,632.75,0,0
37,633.25,0,0
38,633.75,0,0
39,634.25,0,0
40,634.75,0,0
41,635.25,0,0
42,635.75,2,1.41421
43,636.25,1,1
44,636.75,0,0
45,637.25,0,0
46,637.75,1,1
47,638.25,0,0
48,638.75,1,1
49,639.25,1,1
50,639.75,1,1
51,640.25,0,0
52,640.75,0,0
53,641.25,1,1
54,641.75,1,1
55,642.25,1,1
56,642.75,0,0
57,643.25,2,1.41421
58,643.75,2,1.41421
59,644.25,1,1
60,644.75,0,0
61,645.25,0,0
62,645.75,2,1.41421
63,646.25,1,1
64,646.75,0,0
65,647.25,2,1.41421
66,647.75,1,1
67,648.25,2,1.41421
68,648.75,1,1
69,649.25,1,1
70,649.75,1,1
71,650.25,1,1
72,650.75,4,2
73,651.25,1,1
74,651.75,1,1
75,652.25,3,1.73205
76,652.75,2,1.41421
77,653.25,1,1
78,653.75,1,1
79,654.25,0,0
80,654.75,3,1.73205
81,655.25,1,1
82,655.75,0,0
83,656.25,1,1
84,656.75,1,1
85,657.25,0,0
86,657.75,3,1.73205
87,658.25,1,1
88,658.75,3,1.73205
89,659.25,1,1
90,659.75,1,1
91,660.25,1,1
92,660.75,5,2.23607
93,661.25,8,2.82843
94,661.75,10,3.16228
95,662.25,11,3.31662
96,662.75,14,3.74166
97,663.25,11,3.31662
98,663.75,25,5
99,664.25,40,6.32456
100,664.75,47,6.85565
101,665.25,67,8.18535
102,665.75,112,10.583
103,666.25,134,11.5758
104,666.75,161,12.6886
105,667.25,207,14.3875
106,667.75,248,15.748
107,668.25,328,18.1108
108,668.75,380,19.4936
109,669.25,400,20
110,669.75,479,21.8861
111,670.25,538,23.1948
112,670.75,604,24.5764
113,671.25,680,26.0768
114,671.75,704,26.533
115,672.25,834,28.8791
116,672.75,841,29
117,673.25,891,29.8496
118,673.75,939,30.6431
119,674.25,1039,32.2335
120,674.75,1015,31.8591
121,675.25,1125,33.541
122,675.75,1121,33.4813
123,676.25,1144,33.8231
124,676.75,1220,34.9285
125,677.25,1176,34.2929
126,677.75,1297,36.0139
127,678.25,1258,35.4683
128,678.75,1190,34.4964
129,679.25,1323,36.3731
