bin,center,value,error
1,800.25,1,1
2,800.75,0,0
3,801.25,0,0
4,801.75,0,0
5,802.25,0,0
6,802.75,2,1.41421
7,803.25,1,1
8,803.75,0,0
9,804.25,0,0
10,804.75,0,0
11,805.25,0,0
12,805.75,0,0
13,806.25,1,1
14,806.75,0,0
15,807.25,2,1.41421
16,807.75,0,0
17,808.25,1,1
18,808.75,0,0
19,809.25,0,0
20,809.75,0,0
21,810.25,0,0
22,810.75,0,0
23,811.25,0,0
24,811.75,1,1
25,812.25,0,0
26,812.75,0,0
27,813.25,1,1
28,813.75,0,0
29,814.25,0,0
30,814.75,0,0
31,815.25,2,1.41421
32,815.75,0,0
33,816.25,1,1
34,816.75,1,1
35,817.25,1,1
36,817.75,0,0
37,818.25,1,1
38,818.75,0,0
39,819.25,0,0
40,819.75,1,1
41,820.25,0,0
42,820.75,2,1.41421
43,821.25,0,0
44,821.75,2,1.41421
45,822.25,1,1
46,822.75,2,1.41421
47,823.25,2,1.41421
48,823.75,1,1
49,824.25,1,1
50,824.75,2,1.41421
51,825.25,0,0
52,825.75,0,0
53,826.25,3,1.73205
54,826.75,0,0
55,827.25,2,1.41421
56,827.75,0,0
57,828.25,0,0
58,828.75,0,0
59,829.25,4,2
60,829.75,0,0
61,830.25,0,0
62,830.75,1,1
63,831.25,0,0
64,831.75,2,1.41421
65,832.25,1,1
66,832.75,0,0
67,833.25,0,0
68,833.75,0,0
69,834.25,1,1
70,834.75,0,0
71,835.25,2,1.41421
72,835.75,1,1
73,836.25,3,1.73205
74,836.75,2,1.41421
75,837.25,1,1
76,837.75,1,1
77,838.25,1,1
78,838.75,2,1.41421
79,839.25,5,2.23607
80,839.75,3,1.73205
81,840.25,6,2.44949
82,840.75,3,1.73205
83,841.25,7,2.64575
84,841.75,8,2.82843
85,842.25,6,2.44949
86,842.75,8,2.82843
87,843.25,19,4.3589
88,843.75,26,5.09902
89,844.25,27,5.19615
90,844.75,44,6.63325
91,845.25,56,7.48331
92,845.75,81,9
93,846.25,81,9
94,846.75,87,9.32738
95,847.25,141,11.8743
96,847.75,144,12
97,848.25,188,13.7113
98,848.75,204,14.2829
99,849.25,224,14.9666
100,849.75,254,15.9374
101,850.25,272,16.4924
102,850.75,299,17.2916
103,851.25,330,18.1659
104,851.75,380,19.4936
105,852.25,416,20.3961
106,852.75,426,20.6398
107,853.25,460,21.4476
108,853.75,539,23.2164
109,854.25,545,23.3452
110,854.75,544,23.3238
111,855.25,604,24.5764
112,855.75,603,24.5561
113,856.25,667,25.8263
114,856.75,666,25.807
115,857.25,648,25.4558
116,857.75,688,26.2298
117,858.25,711,26.6646
118,858.75,710,26.6458
119,859.25,745,27.2947
120,859.75,804,28.3549
121,860.25,767,27.6948
122,860.75,807,28.4077
123,861.25,745,27.2947
124,861.75,757,27.5136
125,862.25,793,28.1603
126,862.75,803,28.3373
127,863.25,843,29.0345
128,863.75,860,29.3258
129,864.25,855,29.2404
130,864.75,858,29.2916
131,865.25,812,28.4956
132,865.75,873,29.5466
133,866.25,847,29.1033
134,866.75,847,29.1033
135,867.25,891,29.8496
136,867.75,869,29.4788
137,868.25,825,28.7228
138,868.75,846,29.0861
139,869.25,807,28.4077
140,869.75,814,28.5307
141,870.25,808,28.4253
142,870.75,828,28.775
143,871.25,886,29.7658
144,871.75,814,28.5307
145,872.25,859,29.3087
146,872.75,840,28.9828
147,873.25,841,29
148,873.75,805,28.3725
149,874.25,801,28.3019
150,874.75,820,28.6356
151,875.25,755,27.4773
152,875.75,785,28.0179
153,876.25,773,27.8029
154,876.75,708,26.6083
155,877.25,771,27.7669
156,877.75,715,26.7395
157,878.25,722,26.8701
158,878.75,679,26.0576
159,879.25,680,26.0768
160,879.75,626,25.02
161,880.25,633,25.1595
162,880.75,564,23.7487
163,881.25,558,23.622
164,881.75,532,23.0651
165,882.25,488,22.0907
166,882.75,504,22.4499
167,883.25,503,22.4277
168,883.75,436,20.8806
169,884.25,411,20.2731
170,884.75,414,20.347
171,885.25,380,19.4936
172,885.75,371,19.2614
173,886.25,328,18.1108
174,886.75,301,17.3494
175,887.25,271,16.4621
176,887.75,251,15.843
177,888.25,253,15.906
178,888.75,204,14.2829
179,889.25,168,12.9615
180,889.75,165,12.8452
181,890.25,159,12.6095
182,890.75,156,12.49
183,891.25,123,11.0905
184,891.75,128,11.3137
185,892.25,103,10.1489
186,892.75,98,9.89949
187,893.25,113,10.6301
188,893.75,79,8.88819
189,894.25,65,8.06226
190,894.75,59,7.68115
191,895.25,66,8.12404
192,895.75,45,6.7082
193,896.25,53,7.28011
194,896.75,50,7.07107
195,897.25,50,7.07107
196,897.75,45,6.7082
197,898.25,33,5.74456
198,898.75,37,6.08276
199,899.25,34,5.83095
200,899.75,21,4.58258
201,900.25,17,4.12311
202,900.75,19,4.3589
203,901.25,20,4.47214
204,901.75,24,4.89898
205,902.25,19,4.3589
206,902.75,20,4.47214
207,903.25,12,3.4641
208,903.75,17,4.12311
209,904.25,14,3.74166
210,904.75,26,5.09902
211,905.25,9,3
212,905.75,18,4.24264
213,906.25,13,3.60555
214,906.75,8,2.82843
215,907.25,10,3.16228
216,907.75,9,3
217,908.25,11,3.31662
218,908.75,11,3.31662
219,909.25,3,1.73205
220,909.75,14,3.74166
221,910.25,7,2.64575
222,910.75,6,2.44949
223,911.25,7,2.64575
224,911.75,10,3.16228
225,912.25,2,1.41421
226,912.75,3,1.73205
227,913.25,9,3
228,913.75,2,1.41421
229,914.25,3,1.73205
230,914.75,5,2.23607
231,915.25,3,1.73205
232,915.75,2,1.41421
233,916.25,4,2
234,916.75,2,1.41421
235,917.25,2,1.41421
236,917.75,2,1.41421
237,918.25,1,1
238,918.75,2,1.41421
239,919.25,6,2.44949
240,919.75,3,1.73205
241,920.25,4,2
242,920.75,2,1.41421
243,921.25,1,1
244,921.75,3,1.73205
245,922.25,0,0
246,922.75,3,1.73205
247,923.25,3,1.73205
248,923.75,2,1.41421
249,924.25,1,1
250,924.75,3,1.73205
251,925.25,2,1.41421
252,925.75,0,0
253,926.25,3,1.73205
254,926.75,3,1.73205
255,927.25,3,1.73205
256,927.75,2,1.41421
257,928.25,1,1
258,928.75,4,2
259,929.25,1,1
260,929.75,0,0
261,930.25,2,1.41421
262,930.75,1,1
263,931.25,4,2
264,931.75,1,1
265,932.25,2,1.41421
266,932.75,0,0
267,933.25,2,1.41421
268,933.75,4,2
269,934.25,0,0
270,934.75,2,1.41421
271,935.25,1,1
272,935.75,0,0
273,936.25,0,0
274,936.75,1,1
275,937.25,0,0
276,937.75,0,0
277,938.25,4,2
278,938.75,2,1.41421
279,939.25,6,2.44949
280,939.75,4,2
