x,Curve1
-91.359,365.52
-70.876,364.59
-42.14,364.91
-25.221,365.83
-7.7,365.73
0.358,366.97
4.291,367.31
7.173,355.64
9.589,332.54
12.242,305.67
14.287,280.37
16.518,256.17
19.153,230.93
22.482,214.42
25.132,205.97
27.973,198.09
30.894,201.05
33.339,211.56
36.316,227.54
38.905,242.94
42.657,260.07
46.593,278.3
50.923,296.56
56.404,317.63
61.532,334.88
68.436,351.73
74.427,362.01
81.02,371.25
88.041,377.28
94.531,377.85
103.046,373.16
111.937,370.14
121.008,368.76
132.432,368.12
147.801,366.75
165.524,366.12
188.754,365.96
205.298,365.23
