rootfile,mppc_board,mppc_ch,led_run,ped_run,mppc_hv,led_hv,chi2,ndf,q1,q1_err,pxt,pxt_err
spe_result_ped407_led404_board0.root,0,0,404,407,58.0,1.18,287.3951785132934,195,11.965547257271494,0.07110459008749359,0.5918455104063293,0.012450787441091515
spe_result_ped407_led404_board1.root,1,0,404,407,58.0,1.18,295.9945227708337,186,11.181863279682233,0.05576650631042224,0.6812120209209437,0.011454385185869442
spe_result_ped407_led404_board2.root,2,0,404,407,58.0,1.18,339.67928070275036,159,9.412641639159695,0.0662500660444234,0.6391483531713364,0.014899100159408873
spe_result_ped407_led404_board3.root,3,0,404,407,58.0,1.18,267.63373086787715,158,10.696967771798693,0.06449701967222143,0.4981339391209448,0.011227753336749607
spe_result_ped407_led405_board0.root,0,0,405,407,58.0,1.19,525.6712921095253,229,12.459533574570592,0.06952393242820332,0.462605432231158,0.010965698770920462
spe_result_ped407_led405_board1.root,1,0,405,407,58.0,1.19,569.039536330929,198,11.559229643289994,0.0581316638246312,0.5353139360305021,0.011060427048539268
spe_result_ped407_led405_board2.root,2,0,405,407,58.0,1.19,587.3144123302587,179,9.901972457327338,0.06046644073552354,0.42548208610078175,0.011539940516504837
spe_result_ped407_led405_board3.root,3,0,405,407,58.0,1.19,345.1951144086934,189,10.938448997766606,0.059205513413437494,0.38595198606489434,0.011024948382745231
spe_result_ped407_led406_board0.root,0,0,406,407,58.0,1.17,263.03429899727655,172,12.052830331365504,0.07363455755026127,0.6696912763573121,0.012788938600135968
spe_result_ped407_led406_board1.root,1,0,406,407,58.0,1.17,318.9193453861172,171,11.29788468847653,0.07466219560550247,0.7172580135306769,0.01271853491928393
spe_result_ped407_led406_board2.root,2,0,406,407,58.0,1.17,139.40872721561487,136,9.436781702733787,0.06492165624741464,0.720671863306474,0.03199970755144582
spe_result_ped407_led406_board3.root,3,0,406,407,58.0,1.17,172.15187444161603,142,10.740965719209376,0.08886196160464621,0.5540848447038752,0.013528923417176153
spe_result_ped412_led409_board0.root,0,1,409,412,58.0,1.17,198.7057053483448,181,12.016877720862725,0.0725233164620942,0.6941676625522462,0.013986767308574788
spe_result_ped412_led409_board1.root,1,1,409,412,58.0,1.17,208.5799455249721,164,10.979634088740228,0.07589086264804923,0.6554199789828116,0.01325963758735449
spe_result_ped412_led409_board2.root,2,1,409,412,58.0,1.17,168.1274432166598,148,9.670319650944533,0.0657726459554624,0.6645368609836759,0.014091884648829933
spe_result_ped412_led409_board3.root,3,1,409,412,58.0,1.17,139.0391715411681,149,10.68497410132358,0.08058232064030868,0.5580778151506939,0.01329191498156862
spe_result_ped412_led410_board0.root,0,1,410,412,58.0,1.18,369.6884763443412,204,11.883033087362515,1.7275016369717884,0.5807112807596303,0.6999127278903761
spe_result_ped412_led410_board1.root,1,1,410,412,58.0,1.18,351.39480880569346,198,10.91827793645383,0.06017487755057349,0.6017249145394007,0.013023288404755362
spe_result_ped412_led410_board2.root,2,1,410,412,58.0,1.18,385.9651652868184,173,9.704883833725036,0.04960593804961633,0.5677069186558255,0.012186780041169076
spe_result_ped412_led410_board3.root,3,1,410,412,58.0,1.18,299.07481426999095,171,10.680857961756482,0.07251055304586185,0.45783830091893496,0.013177897468317101
spe_result_ped412_led411_board0.root,0,1,411,412,58.0,1.16,242.83932478731458,156,12.099999986291573,0.03829921900598787,0.7215942217508494,0.011611045833316291
spe_result_ped412_led411_board1.root,1,1,411,412,58.0,1.16,238.0683586307356,141,10.99999999996751,0.01536266169689604,0.7364664436207302,0.011848706702838718
spe_result_ped412_led411_board2.root,2,1,411,412,58.0,1.16,270.6938742365272,132,9.839408400973582,0.08092405315980855,0.678701172168029,0.014443293986644068
spe_result_ped412_led411_board3.root,3,1,411,412,58.0,1.16,256.4408678994774,131,10.697455902440325,0.08054334273376895,0.643050019285757,0.014599842505955252
spe_result_ped417_led414_board0.root,0,2,414,417,58.0,1.165,224.82871911469744,162,11.639651137249484,0.07374682362531537,0.6441375142589254,0.012030493078190485
spe_result_ped417_led414_board1.root,1,2,414,417,58.0,1.165,303.53940436036703,171,11.259440982188615,0.06678253111597332,0.7469756295077484,0.0147008404271593
spe_result_ped417_led414_board2.root,2,2,414,417,58.0,1.165,306.72933376999947,170,10.087969932355266,0.06135940770076065,0.7179107072272481,0.011941532866460824
spe_result_ped417_led414_board3.root,3,2,414,417,58.0,1.165,169.64741007551527,144,10.375205003786833,0.08305617039013313,0.5320080535716575,0.013049429868086382
spe_result_ped417_led415_board0.root,0,2,415,417,58.0,1.17,190.0653115418428,171,11.470358144964916,0.08242904999761702,0.628462228407132,0.013897810598522353
spe_result_ped417_led415_board1.root,1,2,415,417,58.0,1.17,227.7329450989754,179,11.193055869996085,0.04944271632641595,0.7056404981679095,0.012007537551126823
spe_result_ped417_led415_board2.root,2,2,415,417,58.0,1.17,256.3327368391174,169,9.959622260623675,0.06640534341696025,0.6851608994649016,0.014405227830841583
spe_result_ped417_led415_board3.root,3,2,415,417,58.0,1.17,224.11590445611253,156,10.470294095428914,0.07575221063178095,0.4936013345316772,0.013452209213252464
spe_result_ped417_led416_board0.root,0,2,416,417,58.0,1.16,246.64126414443726,152,11.805706133203522,0.09632921818057927,0.6439870896335124,0.013530839509069359
spe_result_ped417_led416_board1.root,1,2,416,417,58.0,1.16,292.8927949776394,162,11.337983908264246,0.07098733787402178,0.7452389275280653,0.015029027035209808
spe_result_ped417_led416_board2.root,2,2,416,417,58.0,1.16,353.0622894325081,154,10.1312067631064,0.06869335812984723,0.7279999336935838,0.013657908170886468
spe_result_ped417_led416_board3.root,3,2,416,417,58.0,1.16,148.8232440456742,130,10.482677746164061,0.0843917314551792,0.5741838947209532,0.012966660792105622
spe_result_ped422_led419_board0.root,0,3,419,422,58.0,1.155,356.52624485199834,155,12.334245597083013,0.10391176668987878,0.7209167109468209,0.015249282813960707
spe_result_ped422_led419_board1.root,1,3,419,422,58.0,1.155,274.56616744506664,147,11.351850422190711,0.0775361999594093,0.7461659877821316,0.017087252065324243
spe_result_ped422_led419_board2.root,2,3,419,422,58.0,1.155,228.45304141694191,154,10.084727447193389,0.1008010825771013,0.7878591222747094,0.017221180497832833
spe_result_ped422_led419_board3.root,3,3,419,422,58.0,1.155,110.82260882919016,124,10.779360411603406,0.10190466288996447,0.5265650682993077,0.014616274798426032
spe_result_ped422_led420_board0.root,0,3,420,422,58.0,1.16,201.06455092817902,168,12.099999986513012,0.09023080842006159,0.7299001654779171,0.011714485456202184
spe_result_ped422_led420_board1.root,1,3,420,422,58.0,1.16,230.1724901054284,161,11.267505874808771,0.07763077155297538,0.7434559987277993,0.014590490059074424
spe_result_ped422_led420_board2.root,2,3,420,422,58.0,1.16,181.50866841082444,159,9.923693410279137,0.09289329941799451,0.730322439024423,0.01830377509443598
spe_result_ped422_led420_board3.root,3,3,420,422,58.0,1.16,158.88566153503396,127,10.67034171096098,0.07430658775682453,0.5247507827958479,0.012924909816064756
spe_result_ped422_led421_board0.root,0,3,421,422,58.0,1.165,167.78096914312545,180,12.100018313172482,0.10388786030815123,0.7009894238380139,0.017744276165805095
spe_result_ped422_led421_board1.root,1,3,421,422,58.0,1.165,193.87204833142974,162,11.351758507564806,0.0745399605138255,0.6706504883450523,0.013806727450550338
spe_result_ped422_led421_board2.root,2,3,421,422,58.0,1.165,227.73786209233413,160,9.700179755024068,0.08379191823084398,0.7209153633679242,0.019733520815308325
spe_result_ped422_led421_board3.root,3,3,421,422,58.0,1.165,140.12684592985198,141,10.791675408480826,0.0733500343927389,0.4849359894918089,0.012856118699050761
spe_result_ped427_led424_board0.root,0,4,424,427,58.0,1.175,172.44495291976247,182,12.028121630482715,0.0946922442764695,0.6578591679969927,0.014947140465284281
spe_result_ped427_led424_board1.root,1,4,424,427,58.0,1.175,222.10148388667406,175,10.925991658591798,0.0798311852848208,0.6810840932821347,0.0150097183459037
spe_result_ped427_led424_board2.root,2,4,424,427,58.0,1.175,2212.315189783758,112,10.800000000018425,0.0009350532797265387,0.08764552258071857,0.004714325736705743
spe_result_ped427_led424_board3.root,3,4,424,427,58.0,1.175,199.6288685997716,173,11.435634227231661,0.07553061871583733,0.6176198764375862,0.013313183235029002
spe_result_ped427_led425_board0.root,0,4,425,427,58.0,1.17,224.58663247783366,161,11.86725784718801,0.09098766639355294,0.694350273392523,0.015444899042656668
spe_result_ped427_led425_board1.root,1,4,425,427,58.0,1.17,182.9121022180203,158,10.999999999425247,0.029708295801351703,0.6786508691408144,0.02907081284315921
spe_result_ped427_led425_board2.root,2,4,425,427,58.0,1.17,233.90755655497517,100,9.000000000036477,0.004876025747941881,0.3759699808300249,0.007639284947340924
spe_result_ped427_led425_board3.root,3,4,425,427,58.0,1.17,162.87122945070723,150,11.556118938838976,0.09014951379290448,0.6287024083256174,0.014995386304983815
spe_result_ped427_led426_board0.root,0,4,426,427,58.0,1.165,257.73534354194845,157,12.096255991076692,0.4059995666778242,0.6914944565638801,0.014194132392650494
spe_result_ped427_led426_board1.root,1,4,426,427,58.0,1.165,246.57011732130758,148,10.999999998418055,0.13339107251007665,0.7252447500364987,0.011575458636606084
