#pK pK_min pK_max cos_cm cos_cm_err Acceptance
750 749 751 -0.133333 0.0666667 0.795733
750 749 751 -2.77556e-17 0.0666667 0.785444
750 749 751 0.133333 0.0666667 0.781361
750 749 751 0.266667 0.0666667 0.777417
750 749 751 0.4 0.0666667 0.772042
750 749 751 0.533333 0.0666667 0.766142
750 749 751 0.666667 0.0666667 0.755359
750 749 751 0.8 0.0666667 0.739398
750 749 751 0.933333 0.0666667 0.731065
754 753 755 -0.933333 0.0666667 0.785576
754 753 755 -0.8 0.0666667 0.796743
754 753 755 -0.666667 0.0666667 0.802071
754 753 755 -0.533333 0.0666667 0.774614
754 753 755 -0.4 0.0666667 0.791483
754 753 755 -0.266667 0.0666667 0.79774
754 753 755 -0.133333 0.0666667 0.784541
754 753 755 -2.77556e-17 0.0666667 0.793001
754 753 755 0.133333 0.0666667 0.787563
754 753 755 0.266667 0.0666667 0.788952
754 753 755 0.4 0.0666667 0.780285
754 753 755 0.533333 0.0666667 0.758801
754 753 755 0.666667 0.0666667 0.754712
754 753 755 0.8 0.0666667 0.766479
754 753 755 0.933333 0.0666667 0.742625
758 757 759 -0.933333 0.0666667 0.788063
758 757 759 -0.8 0.0666667 0.781803
758 757 759 -0.666667 0.0666667 0.792824
758 757 759 -0.533333 0.0666667 0.82057
758 757 759 -0.4 0.0666667 0.779922
758 757 759 -0.266667 0.0666667 0.766019
758 757 759 -0.133333 0.0666667 0.784407
758 757 759 -2.77556e-17 0.0666667 0.793159
758 757 759 0.133333 0.0666667 0.772554
758 757 759 0.266667 0.0666667 0.788313
758 757 759 0.4 0.0666667 0.755079
758 757 759 0.533333 0.0666667 0.773902
758 757 759 0.666667 0.0666667 0.75416
758 757 759 0.8 0.0666667 0.715485
758 757 759 0.933333 0.0666667 0.704909
762 761 763 -0.933333 0.0666667 0.804978
762 761 763 -0.8 0.0666667 0.791886
762 761 763 -0.666667 0.0666667 0.797446
762 761 763 -0.533333 0.0666667 0.796826
762 761 763 -0.4 0.0666667 0.78203
762 761 763 -0.266667 0.0666667 0.802768
762 761 763 -0.133333 0.0666667 0.794419
762 761 763 -2.77556e-17 0.0666667 0.784975
762 761 763 0.133333 0.0666667 0.763198
