#pK pK_min pK_max cos_cm cos_cm_err Entry
754 753 755 0.666667 0.0666667 33.1714
754 753 755 0.8 0.0666667 33.2421
754 753 755 0.933333 0.0666667 35.0614
758 757 759 -0.933333 0.0666667 59.0421
758 757 759 -0.8 0.0666667 44.5704
758 757 759 -0.666667 0.0666667 40.4703
758 757 759 -0.533333 0.0666667 38.4575
758 757 759 -0.4 0.0666667 35.0562
758 757 759 -0.266667 0.0666667 28.2537
758 757 759 -0.133333 0.0666667 31.9811
758 757 759 -2.77556e-17 0.0666667 26.595
758 757 759 0.133333 0.0666667 28.934
758 757 759 0.266667 0.0666667 30.574
758 757 759 0.4 0.0666667 30.9934
758 757 759 0.533333 0.0666667 31.5711
758 757 759 0.666667 0.0666667 35.7458
758 757 759 0.8 0.0666667 34.3667
758 757 759 0.933333 0.0666667 39.1098
762 761 763 -0.933333 0.0666667 63.5201
762 761 763 -0.8 0.0666667 52.0209
762 761 763 -0.666667 0.0666667 51.7141
762 761 763 -0.533333 0.0666667 44.0634
762 761 763 -0.4 0.0666667 41.414
762 761 763 -0.266667 0.0666667 36.9147
762 761 763 -0.133333 0.0666667 37.3609
762 761 763 -2.77556e-17 0.0666667 32.685
762 761 763 0.133333 0.0666667 35.9851
762 761 763 0.266667 0.0666667 32.8059
762 761 763 0.4 0.0666667 27.2003
762 761 763 0.533333 0.0666667 24.7833
762 761 763 0.666667 0.0666667 20.6373
762 761 763 0.8 0.0666667 16.6865
762 761 763 0.933333 0.0666667 11.4714
766 765 767 -0.933333 0.0666667 60.8624
766 765 767 -0.8 0.0666667 53.0506
766 765 767 -0.666667 0.0666667 55.3198
766 765 767 -0.533333 0.0666667 50.7911
766 765 767 -0.4 0.0666667 54.4411
766 765 767 -0.266667 0.0666667 41.1832
766 765 767 -0.133333 0.0666667 42.2937
766 765 767 -2.77556e-17 0.0666667 34.8585
766 765 767 0.133333 0.0666667 33.5163
766 765 767 0.266667 0.0666667 26.9405
766 765 767 0.4 0.0666667 22.1318
766 765 767 0.533333 0.0666667 18.9646
766 765 767 0.666667 0.0666667 19.0998
766 765 767 0.8 0.0666667 19.6888
766 765 767 0.933333 0.0666667 21.5041
770 769 771 -0.933333 0.0666667 34.5714
770 769 771 -0.8 0.0666667 29.5231
770 769 771 -0.666667 0.0666667 29.1986
770 769 771 -0.533333 0.0666667 26.9265
770 769 771 -0.4 0.0666667 26.374
770 769 771 -0.266667 0.0666667 20.9597
770 769 771 -0.133333 0.0666667 24.4058
770 769 771 -2.77556e-17 0.0666667 21.305
770 769 771 0.133333 0.0666667 24.1365
770 769 771 0.266667 0.0666667 23.95
770 769 771 0.4 0.0666667 24.5854
770 769 771 0.533333 0.0666667 25.3312
770 769 771 0.666667 0.0666667 27.4859
770 769 771 0.8 0.0666667 27.1958
770 769 771 0.933333 0.0666667 33.3491
