#pK pK_min pK_max cos_cm cos_cm_err Acceptance
742 741 743 -0.133333 0.0666667 0.769408
742 741 743 -2.77556e-17 0.0666667 0.778542
742 741 743 0.133333 0.0666667 0.783266
742 741 743 0.266667 0.0666667 0.77318
742 741 743 0.4 0.0666667 0.732209
742 741 743 0.533333 0.0666667 0.725892
742 741 743 0.666667 0.0666667 0.776237
742 741 743 0.8 0.0666667 0.777661
742 741 743 0.933333 0.0666667 0.751117
744 743 745 -0.933333 0.0666667 0.807087
744 743 745 -0.8 0.0666667 0.79156
744 743 745 -0.666667 0.0666667 0.8093
744 743 745 -0.533333 0.0666667 0.78976
744 743 745 -0.4 0.0666667 0.776927
744 743 745 -0.266667 0.0666667 0.75668
744 743 745 -0.133333 0.0666667 0.788096
744 743 745 -2.77556e-17 0.0666667 0.792744
744 743 745 0.133333 0.0666667 0.732101
744 743 745 0.266667 0.0666667 0.799459
744 743 745 0.4 0.0666667 0.773228
744 743 745 0.533333 0.0666667 0.730377
744 743 745 0.666667 0.0666667 0.736637
744 743 745 0.8 0.0666667 0.763022
744 743 745 0.933333 0.0666667 0.719091
746 745 747 -0.933333 0.0666667 0.78756
746 745 747 -0.8 0.0666667 0.77742
746 745 747 -0.666667 0.0666667 0.822428
746 745 747 -0.533333 0.0666667 0.807171
746 745 747 -0.4 0.0666667 0.788596
746 745 747 -0.266667 0.0666667 0.778525
746 745 747 -0.133333 0.0666667 0.77919
746 745 747 -2.77556e-17 0.0666667 0.775467
746 745 747 0.133333 0.0666667 0.769985
746 745 747 0.266667 0.0666667 0.805197
746 745 747 0.4 0.0666667 0.780215
746 745 747 0.533333 0.0666667 0.798895
746 745 747 0.666667 0.0666667 0.771353
746 745 747 0.8 0.0666667 0.730712
746 745 747 0.933333 0.0666667 0.716953
748 747 749 -0.933333 0.0666667 0.785239
748 747 749 -0.8 0.0666667 0.829872
748 747 749 -0.666667 0.0666667 0.777858
748 747 749 -0.533333 0.0666667 0.806112
748 747 749 -0.4 0.0666667 0.807467
748 747 749 -0.266667 0.0666667 0.780061
748 747 749 -0.133333 0.0666667 0.774605
748 747 749 -2.77556e-17 0.0666667 0.771302
748 747 749 0.133333 0.0666667 0.763629
748 747 749 0.266667 0.0666667 0.794044
748 747 749 0.4 0.0666667 0.777778
748 747 749 0.533333 0.0666667 0.746551
748 747 749 0.666667 0.0666667 0.732296
748 747 749 0.8 0.0666667 0.726905
748 747 749 0.933333 0.0666667 0.757506
750 749 751 -0.933333 0.0666667 0.771096
750 749 751 -0.8 0.0666667 0.780749
750 749 751 -0.666667 0.0666667 0.806641
750 749 751 -0.533333 0.0666667 0.832206
750 749 751 -0.4 0.0666667 0.801794
750 749 751 -0.266667 0.0666667 0.803926
750 749 751 -0.133333 0.0666667 0.769085
750 749 751 -2.77556e-17 0.0666667 0.781921
750 749 751 0.133333 0.0666667 0.781896
750 749 751 0.266667 0.0666667 0.775418
750 749 751 0.4 0.0666667 0.769629
750 749 751 0.533333 0.0666667 0.783573
750 749 751 0.666667 0.0666667 0.765014
750 749 751 0.8 0.0666667 0.729339
750 749 751 0.933333 0.0666667 0.723958
752 751 753 -0.933333 0.0666667 0.809608
752 751 753 -0.8 0.0666667 0.817929
752 751 753 -0.666667 0.0666667 0.807616
752 751 753 -0.533333 0.0666667 0.813528
752 751 753 -0.4 0.0666667 0.793307
752 751 753 -0.266667 0.0666667 0.796649
752 751 753 -0.133333 0.0666667 0.813237
752 751 753 -2.77556e-17 0.0666667 0.771739
752 751 753 0.133333 0.0666667 0.77491
752 751 753 0.266667 0.0666667 0.790759
752 751 753 0.4 0.0666667 0.745528
752 751 753 0.533333 0.0666667 0.75381
752 751 753 0.666667 0.0666667 0.766812
752 751 753 0.8 0.0666667 0.743664
752 751 753 0.933333 0.0666667 0.71498
754 753 755 -0.933333 0.0666667 0.787533
754 753 755 -0.8 0.0666667 0.770492
754 753 755 -0.666667 0.0666667 0.804298
754 753 755 -0.533333 0.0666667 0.778892
754 753 755 -0.4 0.0666667 0.784013
754 753 755 -0.266667 0.0666667 0.813019
754 753 755 -0.133333 0.0666667 0.783934
754 753 755 -2.77556e-17 0.0666667 0.78139
754 753 755 0.133333 0.0666667 0.791827
754 753 755 0.266667 0.0666667 0.783424
754 753 755 0.4 0.0666667 0.775947
754 753 755 0.533333 0.0666667 0.750148
754 753 755 0.666667 0.0666667 0.754036
754 753 755 0.8 0.0666667 0.770019
754 753 755 0.933333 0.0666667 0.728886
756 755 757 -0.933333 0.0666667 0.793552
756 755 757 -0.8 0.0666667 0.825515
756 755 757 -0.666667 0.0666667 0.774389
756 755 757 -0.533333 0.0666667 0.776143
756 755 757 -0.4 0.0666667 0.794948
756 755 757 -0.266667 0.0666667 0.799264
756 755 757 -0.133333 0.0666667 0.807258
756 755 757 -2.77556e-17 0.0666667 0.776404
756 755 757 0.133333 0.0666667 0.794726
756 755 757 0.266667 0.0666667 0.783017
756 755 757 0.4 0.0666667 0.7877
756 755 757 0.533333 0.0666667 0.751606
756 755 757 0.666667 0.0666667 0.755951
756 755 757 0.8 0.0666667 0.746206
756 755 757 0.933333 0.0666667 0.74043
758 757 759 -0.933333 0.0666667 0.781516
758 757 759 -0.8 0.0666667 0.763061
758 757 759 -0.666667 0.0666667 0.788453
758 757 759 -0.533333 0.0666667 0.83954
758 757 759 -0.4 0.0666667 0.779613
758 757 759 -0.266667 0.0666667 0.7718
758 757 759 -0.133333 0.0666667 0.771508
758 757 759 -2.77556e-17 0.0666667 0.794395
758 757 759 0.133333 0.0666667 0.787284
758 757 759 0.266667 0.0666667 0.789754
758 757 759 0.4 0.0666667 0.775952
758 757 759 0.533333 0.0666667 0.775708
758 757 759 0.666667 0.0666667 0.771152
758 757 759 0.8 0.0666667 0.718176
758 757 759 0.933333 0.0666667 0.694074
760 759 761 -0.933333 0.0666667 0.823689
760 759 761 -0.8 0.0666667 0.800127
760 759 761 -0.666667 0.0666667 0.82095
760 759 761 -0.533333 0.0666667 0.783745
760 759 761 -0.4 0.0666667 0.799965
760 759 761 -0.266667 0.0666667 0.80661
760 759 761 -0.133333 0.0666667 0.808612
760 759 761 -2.77556e-17 0.0666667 0.784661
760 759 761 0.133333 0.0666667 0.793889
760 759 761 0.266667 0.0666667 0.800084
760 759 761 0.4 0.0666667 0.795534
760 759 761 0.533333 0.0666667 0.739238
