#pK pK_min pK_max cos_cm cos_cm_err Entry
744 743 745 0.8 0.0666667 125.595
744 743 745 0.933333 0.0666667 136.666
746 745 747 -0.933333 0.0666667 144.179
746 745 747 -0.8 0.0666667 115.693
746 745 747 -0.666667 0.0666667 107.38
746 745 747 -0.533333 0.0666667 96.5583
746 745 747 -0.4 0.0666667 96.0515
746 745 747 -0.266667 0.0666667 70.3533
746 745 747 -0.133333 0.0666667 85.5847
746 745 747 -2.77556e-17 0.0666667 86.9785
746 745 747 0.133333 0.0666667 87.6628
746 745 747 0.266667 0.0666667 87.3587
746 745 747 0.4 0.0666667 85.9901
746 745 747 0.533333 0.0666667 85.7621
746 745 747 0.666667 0.0666667 85.7621
746 745 747 0.8 0.0666667 86.3703
746 745 747 0.933333 0.0666667 86.8265
748 747 749 -0.933333 0.0666667 97.2475
748 747 749 -0.8 0.0666667 78.0362
748 747 749 -0.666667 0.0666667 72.94
748 747 749 -0.533333 0.0666667 64.0611
748 747 749 -0.4 0.0666667 65.1819
748 747 749 -0.266667 0.0666667 53.9038
748 747 749 -0.133333 0.0666667 55.5325
748 747 749 -2.77556e-17 0.0666667 55.9878
748 747 749 0.133333 0.0666667 55.4799
748 747 749 0.266667 0.0666667 57.634
748 747 749 0.4 0.0666667 58.4396
748 747 749 0.533333 0.0666667 62.485
748 747 749 0.666667 0.0666667 64.8842
748 747 749 0.8 0.0666667 64.534
748 747 749 0.933333 0.0666667 75.8296
750 749 751 -0.933333 0.0666667 71.1375
750 749 751 -0.8 0.0666667 54.8512
750 749 751 -0.666667 0.0666667 51.1171
750 749 751 -0.533333 0.0666667 49.8429
750 749 751 -0.4 0.0666667 52.4038
750 749 751 -0.266667 0.0666667 42.6018
750 749 751 -0.133333 0.0666667 40.5581
750 749 751 -2.77556e-17 0.0666667 35.0831
750 749 751 0.133333 0.0666667 40.8735
750 749 751 0.266667 0.0666667 41.7313
750 749 751 0.4 0.0666667 40.8356
750 749 751 0.533333 0.0666667 45.5159
750 749 751 0.666667 0.0666667 50.5241
750 749 751 0.8 0.0666667 50.9909
750 749 751 0.933333 0.0666667 62.3194
752 751 753 -0.933333 0.0666667 57.4746
752 751 753 -0.8 0.0666667 48.5578
752 751 753 -0.666667 0.0666667 47.5453
752 751 753 -0.533333 0.0666667 43.0815
752 751 753 -0.4 0.0666667 45.0956
752 751 753 -0.266667 0.0666667 35.9284
752 751 753 -0.133333 0.0666667 36.4728
752 751 753 -2.77556e-17 0.0666667 33.8816
752 751 753 0.133333 0.0666667 36.1135
752 751 753 0.266667 0.0666667 35.6018
752 751 753 0.4 0.0666667 35.3732
752 751 753 0.533333 0.0666667 37.2131
752 751 753 0.666667 0.0666667 38.4216
752 751 753 0.8 0.0666667 38.7265
752 751 753 0.933333 0.0666667 45.2916
754 753 755 -0.933333 0.0666667 52.678
754 753 755 -0.8 0.0666667 42.2677
754 753 755 -0.666667 0.0666667 41.257
754 753 755 -0.533333 0.0666667 40.0644
754 753 755 -0.4 0.0666667 38.4776
754 753 755 -0.266667 0.0666667 33.04
754 753 755 -0.133333 0.0666667 34.1517
754 753 755 -2.77556e-17 0.0666667 35.0007
754 753 755 0.133333 0.0666667 36.9817
754 753 755 0.266667 0.0666667 36.6987
754 753 755 0.4 0.0666667 35.9407
754 753 755 0.533333 0.0666667 33.99
754 753 755 0.666667 0.0666667 33.1714
754 753 755 0.8 0.0666667 33.2421
754 753 755 0.933333 0.0666667 35.0614
756 755 757 -0.933333 0.0666667 56.1413
756 755 757 -0.8 0.0666667 42.0893
756 755 757 -0.666667 0.0666667 40.9556
756 755 757 -0.533333 0.0666667 34.8585
756 755 757 -0.4 0.0666667 36.278
756 755 757 -0.266667 0.0666667 31.9814
756 755 757 -0.133333 0.0666667 32.3243
756 755 757 -2.77556e-17 0.0666667 30.762
756 755 757 0.133333 0.0666667 31.305
756 755 757 0.266667 0.0666667 31.1049
756 755 757 0.4 0.0666667 32.4291
756 755 757 0.533333 0.0666667 31.3907
756 755 757 0.666667 0.0666667 33.2961
756 755 757 0.8 0.0666667 35.1062
756 755 757 0.933333 0.0666667 38.1357
758 757 759 -0.933333 0.0666667 59.0421
758 757 759 -0.8 0.0666667 44.5704
758 757 759 -0.666667 0.0666667 40.4703
758 757 759 -0.533333 0.0666667 38.4575
758 757 759 -0.4 0.0666667 35.0562
758 757 759 -0.266667 0.0666667 28.2537
758 757 759 -0.133333 0.0666667 31.9811
758 757 759 -2.77556e-17 0.0666667 26.595
758 757 759 0.133333 0.0666667 28.934
758 757 759 0.266667 0.0666667 30.574
758 757 759 0.4 0.0666667 30.9934
758 757 759 0.533333 0.0666667 31.5711
758 757 759 0.666667 0.0666667 35.7458
758 757 759 0.8 0.0666667 34.3667
758 757 759 0.933333 0.0666667 39.1098
760 759 761 -0.933333 0.0666667 64.1277
760 759 761 -0.8 0.0666667 50.0835
760 759 761 -0.666667 0.0666667 45.4485
760 759 761 -0.533333 0.0666667 38.4543
760 759 761 -0.4 0.0666667 36.0672
760 759 761 -0.266667 0.0666667 30.0854
760 759 761 -0.133333 0.0666667 31.5158
760 759 761 -2.77556e-17 0.0666667 28.1441
760 759 761 0.133333 0.0666667 31.7202
760 759 761 0.266667 0.0666667 28.9986
760 759 761 0.4 0.0666667 29.8532
760 759 761 0.533333 0.0666667 29.9554
760 759 761 0.666667 0.0666667 29.6767
760 759 761 0.8 0.0666667 27.4753
760 759 761 0.933333 0.0666667 27.9212
762 761 763 -0.933333 0.0666667 63.5201
762 761 763 -0.8 0.0666667 52.0209
762 761 763 -0.666667 0.0666667 51.7141
762 761 763 -0.533333 0.0666667 44.0634
762 761 763 -0.4 0.0666667 41.414
762 761 763 -0.266667 0.0666667 36.9147
762 761 763 -0.133333 0.0666667 37.3609
762 761 763 -2.77556e-17 0.0666667 32.685
762 761 763 0.133333 0.0666667 35.9851
762 761 763 0.266667 0.0666667 32.8059
762 761 763 0.4 0.0666667 27.2003
762 761 763 0.533333 0.0666667 24.7833
762 761 763 0.666667 0.0666667 20.6373
762 761 763 0.8 0.0666667 16.6865
762 761 763 0.933333 0.0666667 11.4714
764 763 765 -0.933333 0.0666667 65.4652
764 763 765 -0.8 0.0666667 53.8239
764 763 765 -0.666667 0.0666667 57.8371
764 763 765 -0.533333 0.0666667 50.5103
764 763 765 -0.4 0.0666667 52.2788
764 763 765 -0.266667 0.0666667 42.3187
764 763 765 -0.133333 0.0666667 39.1022
764 763 765 -2.77556e-17 0.0666667 36.0024
764 763 765 0.133333 0.0666667 35.0307
764 763 765 0.266667 0.0666667 30.6191
764 763 765 0.4 0.0666667 25.8965
764 763 765 0.533333 0.0666667 21.0573
764 763 765 0.666667 0.0666667 18.0838
764 763 765 0.8 0.0666667 13.8568
764 763 765 0.933333 0.0666667 11.6121
766 765 767 -0.933333 0.0666667 60.8624
766 765 767 -0.8 0.0666667 53.0506
766 765 767 -0.666667 0.0666667 55.3198
766 765 767 -0.533333 0.0666667 50.7911
766 765 767 -0.4 0.0666667 54.4411
766 765 767 -0.266667 0.0666667 41.1832
766 765 767 -0.133333 0.0666667 42.2937
766 765 767 -2.77556e-17 0.0666667 34.8585
766 765 767 0.133333 0.0666667 33.5163
766 765 767 0.266667 0.0666667 26.9405
766 765 767 0.4 0.0666667 22.1318
766 765 767 0.533333 0.0666667 18.9646
766 765 767 0.666667 0.0666667 19.0998
